timestamp,speed,distance
27.888671875,,0.19
27.888671875,,0.19
27.888671875,,0.19
27.888671875,,0.19
27.888671875,,0.19
27.888671875,,0.19
27.888671875,,0.19
27.888671875,,0.19
27.888671875,,0.19
27.888671875,,0.19
27.888671875,,0.19
23.8583984375,,0.23
23.8583984375,,0.23
23.8583984375,,0.23
23.8583984375,,0.23
37.3583984375,3.97,0.38
40.373046875,20.32,0.55
44.4580078125,20.62,0.79
47.677734375,21.4,0.98
48.4326171875,20.29,1.02
51.76953125,22.95,1.23
55.7568359375,24.97,1.51
58.943359375,26.43,1.74
62.068359375,26.95,1.98
1.330078125,,2.21
1.908203125,26.49,2.25
12.537109375,27.38,3.06
15.7431640625,28.66,3.32
16.2763671875,28.72,3.36
19.7275390625,28.84,3.64
22.7138671875,28.2,3.87
26.0322265625,27.69,4.13
26.900390625,26.46,4.19
30.037109375,26.85,4.42
33.3466796875,27.76,4.68
33.9013671875,27.61,4.72
37.1533203125,28.26,4.98
40.4111328125,28.2,5.23
41.2236328125,28.27,5.3
44.5322265625,27.77,5.55
48.35546875,28.04,5.85
51.5517578125,28.75,6.1
54.9423828125,29.36,6.38
58.041015625,29.65,6.64
58.82421875,29.33,6.7
62.783203125,29.01,7.02
4.9609375,,7.55
8.396484375,31.2,7.85
9.1455078125,30.67,7.91
12.41796875,30.42,8.19
15.7353515625,30.01,8.47
16.2490234375,29.81,8.51
19.5751953125,29.93,8.78
22.7119140625,29.29,9.04
23.4892578125,29.55,9.1
26.806640625,30.01,9.38
30.1005859375,30.22,9.66
33.1064453125,30.57,9.91
33.87109375,30.04,9.98
40.2900390625,29.82,10.51
41.05078125,30.2,10.57
44.3583984375,30.1,10.85
47.6953125,29.83,11.12
51.537109375,29.9,11.44
54.7646484375,30.84,11.72
57.78125,30.46,11.98
58.796875,30.16,12.06
62.05859375,30.52,12.34
1.0966796875,,12.59
1.8583984375,30.16,12.66
5.2265625,29.55,12.93
8.1015625,29.3,13.17
9.1337890625,29.67,13.25
12.203125,29.94,13.51
15.5908203125,29.38,13.78
16.359375,29.89,13.85
19.4853515625,29.39,14.1
22.7333984375,30.65,14.38
26.0068359375,32.75,14.68
26.716796875,32.36,14.74
33.810546875,32.38,15.38
37.18359375,31.78,15.68
40.34765625,31.46,15.95
41.0966796875,30.67,16.02
47.4931640625,31.12,16.57
50.6884765625,31.15,16.85
51.431640625,30.91,16.91
54.689453125,30.56,17.19
57.96875,30.36,17.46
58.7470703125,29.51,17.53
1.1279296875,,18.06
1.9130859375,29.26,18.12
5.001953125,29.75,18.38
8.3115234375,30.08,18.65
15.4912109375,29.86,19.25
18.7900390625,30.18,19.53
19.2890625,30.69,19.57
22.650390625,29.61,19.84
25.9599609375,30.08,20.12
26.4736328125,29.81,20.16
33.7724609375,30.42,20.78
36.779296875,30.56,21.04
40.2724609375,30.69,21.33
41.0341796875,30.16,21.4
44.3037109375,30.45,21.67
47.50390625,31.11,21.95
51.2646484375,30.54,22.27
54.5869140625,29.96,22.55
57.822265625,30.77,22.82
58.5703125,30.71,22.89
61.8017578125,30.8,23.16
1.0927734375,,23.44
1.84375,30.59,23.5
8.189453125,30.17,24.04
8.947265625,30.31,24.1
12.2724609375,29.94,24.38
15.34765625,29.88,24.63
18.4326171875,29.79,24.89
19.458984375,29.84,24.97
22.4775390625,30.44,25.23
25.7001953125,30.89,25.5
29.634765625,31.14,25.84
32.9072265625,30.42,26.12
33.66796875,30.2,26.18
36.904296875,30.76,26.46
40.11328125,31.02,26.74
40.892578125,29.48,26.8
44.189453125,30.19,27.08
47.458984375,30.45,27.35
51.28515625,30.02,27.67
54.521484375,30.76,27.95
57.6396484375,29.47,28.2
58.390625,30.59,28.27
62.416015625,30.44,28.61
1.6552734375,,28.88
6.447265625,30.36,29.29
10.2451171875,30.24,29.61
14.28125,30.35,29.95
15.052734375,29.78,30.01
18.3642578125,30.06,30.29
19.1181640625,30.47,30.35
22.158203125,30.23,30.61
22.923828125,30.0,30.67
26.2236328125,30.17,30.95
26.955078125,31.41,31.01
30.2607421875,30.11,31.29
33.318359375,30.05,31.54
34.0751953125,30.35,31.61
37.27734375,31.09,31.88
40.5234375,30.67,32.16
41.2724609375,30.67,32.22
44.4326171875,31.5,32.5
47.666015625,30.79,32.78
51.0908203125,31.3,33.07
51.81640625,31.66,33.14
54.82421875,30.55,33.39
58.083984375,30.54,33.67
58.853515625,29.85,33.73
1.39453125,,34.29
2.1533203125,30.27,34.35
5.384765625,30.8,34.63
12.5458984375,31.01,35.24
22.962890625,30.87,36.14
26.833984375,29.67,36.46
30.1640625,29.89,36.73
33.1767578125,30.5,36.99
37.162109375,30.74,37.33
40.3818359375,30.92,37.61
41.123046875,30.99,37.67
44.34765625,30.87,37.95
47.640625,30.23,38.22
50.9169921875,30.38,38.5
51.681640625,30.04,38.56
54.9365234375,30.58,38.84
58.17578125,30.73,39.12
58.9287109375,30.51,39.18
61.900390625,30.92,39.43
1.3564453125,,39.73
2.0869140625,31.45,39.8
5.265625,31.32,40.07
9.1123046875,31.85,40.41
12.3662109375,30.59,40.69
15.58203125,30.95,40.97
16.328125,30.79,41.03
19.5,31.38,41.31
22.927734375,31.27,41.6
26.1044921875,33.75,41.9
26.8115234375,32.49,41.97
29.923828125,31.98,42.24
33.3388671875,31.39,42.54
37.107421875,30.48,42.86
41.0908203125,30.76,43.2
44.4677734375,31.74,43.5
47.453125,30.78,43.75
50.69140625,30.74,44.03
51.4306640625,31.07,44.09
54.724609375,30.22,44.37
57.9052734375,31.3,44.65
58.6376953125,31.36,44.71
1.0546875,,45.26
1.814453125,30.24,45.33
5.0712890625,30.56,45.6
8.32421875,30.6,45.88
9.0576171875,31.32,45.94
12.291015625,30.79,46.22
15.5185546875,30.84,46.5
18.728515625,31.01,46.77
19.4677734375,31.07,46.84
22.654296875,31.24,47.11
25.9345703125,30.35,47.39
29.9658203125,30.39,47.73
33.2060546875,30.72,48.01
33.947265625,30.99,48.07
37.1875,30.72,48.35
40.416015625,30.83,48.62
43.9404296875,30.42,48.92
47.607421875,31.32,49.24
50.595703125,30.75,49.5
51.3505859375,30.43,49.56
54.564453125,30.97,49.84
58.6357421875,30.09,50.18
63.3818359375,30.65,50.58
3.287109375,,50.94
6.5634765625,32.72,51.24
7.2939453125,31.45,51.3
10.578125,30.31,51.58
11.3466796875,29.89,51.64
15.3134765625,30.89,51.98
19.8662109375,30.27,52.37
23.1748046875,30.09,52.64
26.2626953125,29.76,52.9
27.0224609375,30.24,52.96
30.1796875,29.1,53.22
33.546875,29.56,53.49
34.3173828125,29.81,53.56
37.408203125,29.73,53.81
40.732421875,29.94,54.09
44.7080078125,30.82,54.43
47.8671875,31.51,54.71
51.044921875,31.33,54.98
51.767578125,31.79,55.05
55.1201171875,31.98,55.34
58.248046875,31.82,55.62
58.9755859375,31.57,55.68
62.3994140625,31.31,55.98
2.337890625,,56.32
6.2470703125,31.34,56.66
10.1455078125,31.43,57.0
10.875,31.49,57.07
18.0078125,31.13,57.68
18.7587890625,30.59,57.75
26.7919921875,31.46,58.45
30.65234375,31.74,58.79
33.869140625,30.94,59.07
34.5791015625,32.36,59.13
37.9765625,31.55,59.43
41.2099609375,30.79,59.7
41.9462890625,31.2,59.77
45.1220703125,31.34,60.05
48.037109375,31.52,60.3
49.041015625,30.51,60.39
52.3232421875,30.33,60.66
55.4033203125,29.83,60.92
62.65625,29.56,61.51
1.8603515625,,61.79
2.5908203125,31.45,61.85
5.861328125,30.44,62.13
9.1455078125,30.31,62.41
9.8935546875,30.71,62.47
13.125,30.8,62.75
16.38671875,30.52,63.02
16.8935546875,30.22,63.07
23.3603515625,30.79,63.62
26.619140625,30.55,63.9
27.3857421875,29.97,63.96
33.8916015625,30.6,64.51
34.6572265625,30.0,64.58
37.783203125,29.39,64.83
41.134765625,29.7,65.11
41.6669921875,28.77,65.15
44.9794921875,30.05,65.43
48.2041015625,30.87,65.7
55.484375,30.5,66.32
58.7265625,30.7,66.6
59.4677734375,30.99,66.66
62.509765625,30.21,66.92
1.8291015625,,67.19
2.5947265625,30.0,67.26
5.67578125,32.31,67.53
9.048828125,31.78,67.83
9.7822265625,31.32,67.89
13.037109375,30.58,68.17
16.0546875,30.45,68.43
16.84375,29.11,68.49
19.7822265625,31.27,68.74
23.3974609375,29.65,69.04
26.5322265625,29.31,69.3
27.287109375,30.43,69.36
30.615234375,29.91,69.64
33.8505859375,30.77,69.91
34.580078125,31.49,69.98
37.755859375,31.34,70.25
41.0615234375,30.11,70.53
41.830078125,29.89,70.6
48.083984375,30.61,71.13
48.8291015625,30.83,71.19
52.1845703125,29.67,71.47
55.2265625,30.21,71.72
58.6611328125,31.21,72.02
59.400390625,31.07,72.08
62.583984375,31.27,72.36
1.7578125,,72.64
9.025390625,30.55,73.25
9.7880859375,30.12,73.32
12.798828125,30.52,73.57
16.1591796875,29.62,73.85
16.919921875,30.2,73.91
19.9580078125,30.24,74.17
23.2587890625,30.16,74.44
26.4697265625,31.0,74.72
27.2412109375,29.78,74.79
30.53125,30.26,75.06
34.5478515625,30.5,75.4
37.6064453125,30.04,75.66
40.7744140625,31.42,75.93
41.5107421875,31.2,76.0
44.8583984375,32.02,76.3
47.966796875,32.02,76.57
48.6943359375,31.57,76.64
52.11328125,31.35,76.93
56.1083984375,30.67,77.27
59.1494140625,30.22,77.53
1.5986328125,,78.08
2.3583984375,30.24,78.15
5.5712890625,30.98,78.42
8.82421875,30.6,78.7
12.7412109375,31.28,79.04
15.9912109375,30.63,79.32
16.7353515625,30.87,79.38
19.9287109375,31.17,79.66
23.9541015625,30.44,80.0
27.2763671875,29.96,80.27
30.2548828125,30.85,80.53
33.4951171875,30.72,80.8
34.2421875,30.75,80.87
37.541015625,30.18,81.15
40.884765625,29.77,81.42
44.650390625,30.5,81.74
47.9833984375,29.87,82.02
48.7451171875,30.16,82.08
51.974609375,30.82,82.36
55.0439453125,29.94,82.61
55.8046875,30.2,82.68
59.056640625,30.61,82.95
62.3369140625,30.35,83.23
63.09765625,30.2,83.29
2.3798828125,,83.57
9.5107421875,30.07,84.17
12.767578125,30.56,84.44
15.984375,30.94,84.72
16.7373046875,30.51,84.78
19.9541015625,30.94,85.06
23.0068359375,30.1,85.31
27.08984375,30.01,85.65
30.341796875,30.61,85.93
31.0859375,30.87,85.99
37.58984375,30.61,86.55
40.6083984375,30.44,86.8
41.3935546875,29.26,86.87
44.6865234375,30.23,87.14
47.9326171875,30.67,87.42
48.681640625,30.67,87.48
51.7080078125,30.36,87.74
54.998046875,30.26,88.02
55.7578125,30.24,88.08
58.751953125,30.69,88.33
62.2490234375,30.65,88.63
2.2744140625,,88.97
5.53125,30.56,89.25
6.2841796875,30.51,89.31
9.513671875,30.82,89.59
12.546875,30.29,89.84
16.673828125,29.69,90.18
19.712890625,30.24,90.44
22.9921875,30.36,90.72
23.751953125,30.24,90.78
26.953125,31.1,91.06
30.1591796875,31.05,91.33
30.912109375,30.51,91.4
34.0986328125,31.24,91.67
37.2998046875,31.1,91.95
38.26953125,31.58,92.04
41.41796875,31.62,92.31
44.6318359375,30.97,92.59
47.8896484375,30.56,92.86
51.888671875,30.64,93.21
52.6357421875,30.75,93.27
56.37109375,30.75,93.59
59.6240234375,30.6,93.86
60.376953125,30.51,93.93
0.375,,94.27
4.3154296875,29.15,94.59
5.0947265625,29.48,94.65
8.1669921875,29.91,94.91
9.162109375,30.78,94.99
12.30859375,29.2,95.25
13.1220703125,28.24,95.31
24.0517578125,30.13,96.23
27.5,31.09,96.52
30.5478515625,30.15,96.78
34.591796875,30.3,97.12
37.88671875,30.21,97.4
38.3955078125,30.1,97.44
41.7119140625,30.02,97.71
44.9599609375,30.65,97.99
49.025390625,30.14,98.33
52.181640625,31.54,98.61
56.169921875,30.72,98.95
59.2646484375,29.69,99.2
62.61328125,29.73,99.48
63.384765625,29.78,99.54
2.52734375,,99.82
5.697265625,33.82,100.12
6.587890625,34.39,100.2
9.7119140625,34.31,100.5
12.95703125,33.03,100.8
13.6640625,32.49,100.86
17.005859375,32.08,101.16
20.2333984375,33.21,101.46
20.8994140625,34.49,101.52
24.0546875,33.98,101.82
27.416015625,34.17,102.14
30.5732421875,33.95,102.44
31.2578125,33.56,102.5
34.6328125,34.03,102.82
37.7978515625,33.87,103.12
38.4794921875,33.7,103.18
41.6953125,33.34,103.48
44.8779296875,33.68,103.78
48.9736328125,33.65,104.16
52.0078125,32.81,104.44
52.736328125,31.53,104.5
56.0205078125,32.64,104.8
59.31640625,32.53,105.1
60.0166015625,32.81,105.16
63.1513671875,31.75,105.44
2.3896484375,,105.71
3.12890625,31.07,105.78
12.8154296875,31.62,106.63
13.5390625,31.74,106.69
16.7568359375,30.94,106.97
19.978515625,30.9,107.24
20.900390625,33.22,107.33
24.1064453125,31.05,107.6
27.1298828125,30.39,107.86
27.89453125,30.04,107.92
31.1259765625,30.8,108.2
34.42578125,30.17,108.48
35.1669921875,30.99,108.54
38.392578125,30.86,108.82
41.54296875,31.6,109.09
44.9169921875,31.77,109.39
45.6474609375,31.45,109.46
48.8564453125,31.02,109.73
