timestamp,cadence
1705618066.88974,
1705618073.070878,
1705618076.53294,
1705618079.252434,
1705618081.971811,
1705618084.691194,8.86
1705618087.410705,72.82
1705618088.153169,77.28
1705618090.12983,77.04
1705618090.872542,77.43
1705618092.849475,77.77
1705618093.591974,75.67
1705618096.311125,83.14
1705618099.030664,77.11
1705618101.750126,78.85
1705618104.469412,
1705618107.188933,84.67
1705618109.908327,83.54
1705618112.627569,86.23
1705618115.34718,85.24
1705618116.089682,
1705618118.808939,84.74
1705618121.528445,85.42
1705618122.27099,85.1
1705618124.990455,82.88
1705618127.709878,83.82
1705618131.171772,84.2
1705618137.353086,83.54
1705618140.072546,81.95
1705618143.534395,84.6
1705618146.253784,83.62
1705618148.973219,83.28
1705618152.434463,81.76
1705618155.154563,82.58
1705618157.873555,80.55
1705618160.595351,79.59
1705618163.312645,80.5
1705618166.03132,80.6
1705618168.751522,
1705618171.47009,84.09
1705618174.193849,81.4
1705618176.909683,80.03
1705618179.628535,83.31
1705618182.348532,84.24
1705618185.067381,82.47
1705618185.810761,81.7
1705618188.529786,82.66
1705618191.249414,83.59
1705618191.991688,86.05
1705618194.711286,83.2
1705618197.430296,83.11
1705618200.891976,83.93
1705618203.611373,83.62
1705618204.353929,83.71
1705618207.073306,84.4
1705618209.819264,85.3
1705618213.255233,84.96
1705618215.974466,85.45
1705618219.436602,83.0
1705618222.155934,85.93
1705618224.875245,86.41
1705618228.337281,84.28
1705618231.056458,
1705618234.518218,85.45
1705618237.238007,83.98
1705618237.980424,82.8
1705618240.699928,84.63
1705618243.418971,85.05
1705618246.881198,85.18
1705618249.600766,84.63
1705618253.062525,82.78
1705618255.781914,84.83
1705618259.243758,87.61
1705618261.96335,84.95
1705618264.682805,83.14
1705618268.144469,85.75
1705618270.863388,84.42
1705618271.605746,83.82
1705618274.325879,85.85
1705618277.055337,91.51
1705618279.764653,88.56
1705618282.483801,87.27
1705618285.203519,89.11
1705618290.642295,86.36
1705618293.361402,84.6
1705618296.081172,
1705618298.800624,86.38
1705618301.519935,87.1
1705618302.262568,86.05
1705618304.239241,87.6
1705618307.700898,88.18
1705618310.420774,85.93
1705618313.882677,87.17
1705618316.602137,87.15
1705618319.321415,87.55
1705618320.063938,87.83
1705618322.783413,85.65
1705618325.502749,89.04
1705618326.24531,89.63
1705618328.964481,88.53
1705618331.683569,87.65
1705618332.426552,87.9
1705618334.403571,87.73
1705618337.122785,86.54
1705618337.979455,87.77
1705618339.84218,86.9
1705618342.56175,85.02
1705618343.304402,84.98
1705618346.023471,90.85
1705618348.742927,87.27
1705618351.461866,85.18
1705618354.181824,86.81
1705618356.901307,86.5
1705618359.620583,
1705618362.339844,86.37
1705618365.05936,88.23
1705618367.778797,88.53
1705618368.521191,88.79
1705618371.240591,87.48
1705618373.960163,88.23
1705618377.421938,87.79
1705618380.141068,88.15
1705618383.603851,87.11
1705618386.322788,89.15
1705618389.784743,92.08
1705618392.504199,92.09
1705618395.223465,92.25
1705618398.713697,90.09
1705618401.404713,89.53
1705618407.586231,88.77
1705618411.04838,88.51
1705618413.76747,91.61
1705618417.229395,88.66
1705618419.948172,87.37
1705618423.41084,89.6
1705618426.130135,
1705618428.849648,87.15
1705618432.311311,88.05
1705618435.030872,88.86
1705618438.492334,90.89
1705618441.212297,87.17
1705618444.673893,88.48
1705618447.39368,87.81
1705618450.11278,89.3
1705618450.854721,89.96
1705618453.575008,90.17
1705618456.294369,90.22
1705618457.03669,87.77
1705618459.756308,86.72
1705618462.475709,84.77
1705618463.218229,
1705618465.941812,85.67
1705618468.656859,87.06
1705618472.11897,87.55
1705618474.838163,87.57
1705618483.739001,88.58
1705618484.483743,89.43
1705618487.200529,
1705618489.920442,89.33
1705618490.662963,88.4
1705618493.382361,88.43
1705618496.843757,87.75
1705618499.563553,88.82
1705618502.283115,88.89
1705618505.745075,89.96
1705618508.463711,87.24
1705618511.928187,87.21
1705618514.645999,87.07
1705618517.365164,87.49
1705618518.107816,86.72
1705618520.826726,87.65
1705618523.546476,89.04
1705618528.985171,89.33
1705618531.704163,88.43
1705618534.424004,86.45
1705618537.143516,86.2
1705618539.862731,85.01
1705618542.582322,88.05
1705618545.301749,87.19
1705618548.020933,87.61
1705618550.740439,86.81
1705618554.202699,
1705618556.921672,88.4
1705618560.383699,88.7
1705618563.103041,88.62
1705618565.822521,87.58
1705618566.565121,88.72
1705618569.284677,87.87
1705618572.003469,87.6
1705618572.746404,91.29
1705618575.465835,88.73
1705618578.185132,89.46
1705618578.927673,
1705618581.647178,89.93
1705618587.828503,86.83
1705618590.54791,93.12
1705618593.266819,88.79
1705618594.009194,91.36
1705618596.729122,89.91
1705618599.448475,87.71
1705618600.191132,87.9
1705618602.910475,88.88
1705618605.629929,86.37
1705618606.37244,87.03
1705618609.091737,85.78
1705618611.81128,89.33
1705618615.273106,88.59
1705618617.992624,
1705618621.454488,85.33
1705618626.893461,87.82
1705618627.635711,87.96
1705618630.354859,86.45
1705618633.074641,86.99
1705618636.544312,88.21
1705618639.269249,88.36
1705618642.736745,88.47
1705618645.459827,87.09
1705618648.925689,87.49
1705618651.668755,88.79
1705618655.112115,89.6
1705618660.553854,86.98
1705618663.274499,87.52
1705618665.994834,86.01
1705618671.43542,87.4
1705618674.155358,88.33
1705618676.875173,88.7
1705618682.31473,
1705618685.034534,87.15
1705618687.754419,86.84
1705618688.501942,87.03
1705618691.21626,88.02
1705618693.935331,84.02
1705618697.398304,84.96
1705618700.117878,86.96
1705618700.860357,85.1
1705618703.579841,84.94
1705618706.299442,86.2
1705618709.761403,87.6
1705618712.481073,88.11
1705618715.943001,85.29
1705618718.662486,86.99
1705618721.381692,88.28
1705618722.124541,89.69
1705618724.843873,88.71
1705618727.563428,88.75
1705618728.306093,
1705618731.025362,88.12
1705618733.74455,88.17
1705618737.207001,87.09
1705618739.926322,87.37
1705618743.388451,
1705618746.107868,86.66
1705618749.569902,84.44
1705618752.289327,86.66
1705618755.008639,89.04
1705618758.470819,88.85
1705618761.19013,88.28
1705618764.652232,88.88
1705618767.371664,88.33
1705618768.114194,87.52
1705618770.833654,87.73
1705618773.553021,89.53
1705618777.015019,89.72
1705618779.734468,90.13
1705618782.453982,88.76
1705618783.196476,85.81
1705618785.915769,87.55
1705618788.63541,88.85
1705618792.097418,88.4
1705618794.816871,87.32
1705618798.278707,89.53
1705618800.998417,87.96
1705618804.460164,89.96
1705618807.179655,90.19
1705618809.898464,
1705618810.641948,90.35
1705618813.361072,91.52
1705618816.080244,91.92
1705618816.823184,88.53
1705618819.542656,88.17
1705618822.261987,88.21
1705618825.723928,87.54
1705618828.443376,89.61
1705618831.905527,86.11
1705618834.625053,86.17
1705618837.34426,89.69
1705618840.806202,87.93
1705618843.525696,89.11
1705618844.268266,87.77
1705618846.987809,85.33
1705618849.707214,86.5
1705618850.449356,87.15
1705618855.888635,87.13
1705618859.350734,87.1
1705618862.070152,85.29
1705618865.532105,88.47
1705618868.251532,86.23
1705618870.971004,86.47
1705618874.432907,
1705618877.152445,88.4
1705618877.894777,88.02
1705618880.614217,88.66
1705618883.333814,87.62
1705618884.076531,88.4
1705618886.795812,89.07
1705618889.517064,88.28
1705618892.977966,87.37
1705618895.69673,89.22
1705618899.158636,88.02
1705618904.597506,88.77
1705618908.059486,87.33
1705618910.778973,87.87
1705618913.498317,86.9
1705618916.217863,86.66
1705618918.937078,88.05
1705618924.376063,86.73
1705618927.095746,86.94
1705618927.838237,86.78
1705618929.815186,87.69
1705618930.55775,86.29
1705618932.534601,87.86
1705618933.276974,86.96
1705618935.996672,
1705618938.715976,86.76
1705618941.435468,87.77
1705618944.154931,87.74
1705618947.616933,90.73
1705618950.336306,90.09
1705618953.055856,88.48
1705618956.517809,89.89
1705618959.237086,88.81
1705618962.699238,91.56
1705618965.418391,91.24
1705618968.880686,87.9
1705618971.599971,88.57
1705618981.243329,87.11
1705618983.962786,85.45
1705618986.682432,86.26
1705618990.14426,87.92
1705618992.863793,85.13
1705618993.606484,85.33
1705618996.325727,85.18
1705618999.045216,85.63
1705619002.507364,
1705619005.226563,86.09
1705619008.688792,84.6
1705619011.40816,84.47
1705619014.870115,82.53
1705619017.589574,87.27
1705619020.309072,86.38
1705619021.054324,
1705619023.771025,88.33
1705619026.490539,87.77
1705619027.233048,87.77
1705619029.952521,85.89
1705619032.671798,87.95
1705619036.133923,89.12
1705619038.853394,87.86
1705619041.572723,88.28
1705619045.03482,88.76
1705619047.754251,87.71
1705619048.497591,88.02
1705619051.216297,84.83
1705619053.934943,84.14
1705619057.397516,87.55
1705619060.117148,84.92
1705619063.578954,88.91
1705619066.298479,
1705619069.760416,88.48
1705619072.479877,87.86
1705619075.199568,87.87
1705619075.941949,88.91
1705619078.661393,88.99
1705619081.38086,89.48
1705619082.123445,89.56
1705619084.843024,89.56
1705619087.562206,90.35
1705619091.033765,88.75
1705619093.743742,87.1
1705619097.205845,88.69
1705619099.925186,88.37
1705619102.644593,86.88
1705619103.387125,89.3
1705619106.106678,90.22
1705619108.825754,89.6
1705619109.568358,91.84
1705619112.2875,89.96
1705619115.749889,89.88
1705619121.188593,90.12
1705619124.72234,90.42
1705619127.370287,
1705619130.832314,90.39
1705619133.551762,91.7
1705619136.27124,89.86
1705619137.013704,91.84
1705619139.73292,91.02
1705619142.452615,90.19
1705619143.195062,89.56
1705619145.914512,90.35
1705619148.634098,89.69
1705619149.384918,91.43
1705619152.095982,90.85
1705619158.27741,89.85
1705619160.996842,89.3
1705619164.458926,88.5
1705619167.178293,86.81
1705619169.897583,86.08
1705619170.640903,87.83
1705619173.359847,86.82
1705619176.079236,89.08
1705619176.821856,89.3
1705619179.541111,89.69
1705619182.260973,90.89
1705619185.722824,90.89
1705619188.442148,90.92
1705619194.623518,
1705619200.805052,90.31
1705619203.524562,89.61
1705619204.266765,89.69
1705619206.986432,88.36
1705619210.448368,89.06
1705619213.167834,89.43
1705619215.887317,87.86
1705619219.34905,89.78
1705619222.068837,87.67
1705619225.53069,87.77
1705619228.250119,90.92
1705619231.712104,89.61
1705619234.431578,88.12
1705619237.151125,89.3
1705619237.893548,88.66
1705619240.612969,87.86
1705619243.332517,86.93
1705619244.075103,89.82
1705619246.79442,91.09
1705619249.513868,89.3
1705619252.976019,90.11
1705619255.695275,
1705619261.876771,90.19
1705619264.59628,93.27
1705619265.338852,
1705619268.058178,93.23
1705619270.78156,90.49
1705619273.496987,90.65
1705619276.216609,90.66
1705619278.93599,89.5
1705619281.655547,91.73
1705619284.403547,92.08
1705619287.094232,91.02
1705619289.813752,90.14
1705619290.556135,88.91
1705619292.533309,90.62
1705619293.27582,90.55
1705619295.252823,89.3
1705619297.972219,91.39
1705619298.714642,90.62
1705619301.434066,89.54
1705619304.15348,90.45
1705619307.615047,91.12
1705619310.334547,89.85
1705619313.08421,90.12
1705619316.516474,92.03
1705619319.97835,
1705619322.69795,92.76
1705619325.417653,91.18
1705619328.879213,92.0
1705619335.060752,90.93
1705619337.780105,91.16
1705619340.499703,90.35
1705619341.242123,91.91
1705619343.961519,90.72
1705619346.681031,89.72
1705619350.142331,88.47
1705619352.862421,89.4
1705619353.605046,89.5
1705619356.324167,88.36
1705619359.044697,86.69
1705619362.505944,88.83
1705619365.225409,90.57
1705619368.687446,90.24
1705619371.406847,91.22
1705619374.126371,91.02
1705619374.86856,91.16
1705619377.588262,90.49
1705619380.307077,90.49
1705619381.049421,
1705619383.769642,
1705619386.489172,89.51
1705619387.231705,86.29
1705619389.951314,87.81
1705619392.670541,87.03
1705619396.132144,88.13
1705619398.852106,87.65
