timestamp,speed,distance
1705618067.217797,,0.12
1705618070.438389,,0.12
1705618073.659329,,0.12
1705618074.401869,,0.12
1705618077.622783,,0.12
1705618080.843558,,0.12
1705618081.586087,,0.12
1705618084.806938,1.94,0.13
1705618088.027767,17.77,0.15
1705618088.769975,27.54,0.16
1705618091.9907,27.48,0.18
1705618095.212064,28.7,0.21
1705618098.43253,27.29,0.23
1705618099.175214,28.04,0.24
1705618102.396141,28.15,0.26
1705618105.617189,,0.29
1705618109.580536,29.91,0.32
1705618112.801319,30.36,0.35
1705618113.543908,30.27,0.36
1705618116.764717,30.1,0.38
1705618119.985562,30.32,0.41
1705618123.206298,29.54,0.44
1705618123.948906,30.16,0.44
1705618127.169739,29.65,0.47
1705618130.390363,29.74,0.5
1705618134.354024,29.57,0.53
1705618137.592749,29.95,0.56
1705618138.317523,28.86,0.56
1705618141.538287,29.39,0.59
1705618144.759122,29.68,0.61
1705618148.721902,29.6,0.65
1705618152.685931,29.04,0.68
1705618155.90687,29.07,0.7
1705618159.127536,28.42,0.73
1705618162.349581,28.58,0.76
1705618163.090959,27.76,0.76
1705618166.311389,28.75,0.79
1705618169.532501,,0.81
1705618170.27498,30.27,0.82
1705618173.496034,29.08,0.85
1705618176.716433,28.45,0.87
1705618177.459053,29.42,0.88
1705618180.67955,29.74,0.9
1705618183.901136,29.36,0.93
1705618187.121932,29.17,0.96
1705618187.864433,29.81,0.96
1705618191.085386,29.77,0.99
1705618194.306572,29.71,1.01
1705618195.04832,29.29,1.02
1705618198.269599,29.62,1.05
1705618201.489887,29.69,1.07
1705618202.232172,29.59,1.08
1705618205.453399,29.81,1.11
1705618208.674133,30.2,1.13
1705618212.638204,30.11,1.17
1705618219.079733,29.74,1.22
1705618219.821879,30.16,1.23
1705618223.043022,30.78,1.25
1705618226.263969,30.22,1.28
1705618227.00654,29.42,1.29
1705618230.227241,29.62,1.31
1705618234.190525,,1.35
1705618237.411385,29.62,1.37
1705618238.15417,29.63,1.38
1705618241.374832,30.25,1.41
1705618244.595792,30.02,1.43
1705618245.338306,30.27,1.44
1705618248.559119,30.02,1.47
1705618251.779994,29.47,1.49
1705618252.52247,28.86,1.5
1705618255.743318,30.09,1.53
1705618258.964184,31.04,1.55
1705618262.185124,29.59,1.58
1705618262.927511,28.69,1.59
1705618266.148444,30.33,1.61
1705618269.369163,30.16,1.64
1705618270.111893,29.66,1.65
1705618273.332564,30.2,1.67
1705618281.259388,31.66,1.74
1705618282.002052,30.95,1.75
1705618285.24181,31.56,1.78
1705618285.965266,30.91,1.78
1705618289.928669,30.31,1.82
1705618293.148951,29.98,1.84
1705618293.891741,29.93,1.85
1705618297.855418,,1.88
1705618301.818964,30.82,1.92
1705618305.782209,31.11,1.95
1705618309.003138,30.66,1.98
1705618309.745599,30.79,1.99
1705618312.966567,30.82,2.01
1705618316.188068,31.08,2.04
1705618319.407822,31.01,2.07
1705618320.150778,30.51,2.08
1705618323.37162,30.78,2.1
1705618326.592322,31.76,2.13
1705618327.335056,31.41,2.14
1705618330.555689,31.18,2.17
1705618333.775951,31.09,2.2
1705618334.51887,29.85,2.2
1705618337.739938,31.17,2.23
1705618340.96085,30.39,2.25
1705618341.703566,30.16,2.26
1705618344.924151,31.78,2.29
1705618348.145151,31.06,2.32
1705618351.366046,30.38,2.35
1705618352.108096,30.99,2.35
1705618358.549759,30.68,2.41
1705618359.292794,,2.41
1705618362.513347,30.77,2.44
1705618365.734535,31.27,2.47
1705618366.477011,31.92,2.48
1705618369.697849,31.18,2.5
1705618372.918661,31.21,2.53
1705618376.13939,31.17,2.56
1705618376.882039,31.16,2.57
1705618380.102938,31.06,2.59
1705618383.323606,30.91,2.62
1705618384.06618,30.87,2.63
1705618387.287005,32.31,2.66
1705618390.50719,32.55,2.68
1705618391.250606,32.84,2.69
1705618394.471299,32.58,2.72
1705618397.691901,32.06,2.75
1705618401.655481,31.66,2.78
1705618404.876416,31.41,2.81
1705618408.097291,31.45,2.84
1705618408.839709,30.83,2.85
1705618412.060648,32.04,2.88
1705618415.281157,31.69,2.9
1705618416.023961,31.28,2.91
1705618419.244873,31.01,2.94
1705618422.465733,31.67,2.97
1705618423.208283,,2.97
1705618426.428984,31.02,3.0
1705618429.650066,31.06,3.03
1705618432.8707,31.2,3.06
1705618433.613265,30.87,3.06
1705618440.055151,31.69,3.12
1705618444.017921,31.24,3.15
1705618447.239281,31.02,3.18
1705618447.981868,31.24,3.19
1705618451.202653,32.17,3.22
1705618454.423422,32.04,3.25
1705618455.166114,31.7,3.25
1705618458.386729,31.06,3.28
1705618461.607635,29.98,3.31
1705618464.828529,30.41,3.33
1705618465.571035,30.63,3.34
1705618468.79176,30.94,3.37
1705618472.012817,31.12,3.4
1705618472.755389,30.87,3.4
1705618475.975878,30.87,3.43
1705618479.196869,31.58,3.46
1705618479.939503,30.95,3.46
1705618486.381389,31.21,3.52
1705618487.123872,,3.53
1705618489.602649,31.67,3.55
1705618490.34462,31.49,3.55
1705618493.565599,31.15,3.58
1705618496.786251,31.37,3.61
1705618497.528867,30.95,3.62
1705618500.749775,31.53,3.65
1705618503.970464,31.91,3.67
1705618504.713155,31.53,3.68
1705618507.934054,30.87,3.71
1705618511.154082,31.15,3.74
1705618511.897244,29.93,3.74
1705618515.118293,30.97,3.77
1705618518.338997,30.84,3.8
1705618521.559988,31.23,3.83
1705618522.302591,31.92,3.83
1705618530.229245,31.59,3.9
1705618534.192915,30.82,3.93
1705618538.155801,30.24,3.97
1705618538.898558,30.55,3.98
1705618542.119149,31.34,4.0
1705618542.861832,30.87,4.01
1705618546.082825,30.81,4.04
1705618550.788627,31.11,4.08
1705618554.009559,,4.11
1705618554.751889,31.28,4.11
1705618557.972645,31.27,4.14
1705618561.193781,31.68,4.17
1705618561.93617,31.36,4.18
1705618569.120233,31.06,4.24
1705618569.863162,30.71,4.24
1705618573.08388,32.02,4.27
1705618573.826579,30.95,4.28
1705618577.047324,31.5,4.31
1705618577.789703,31.36,4.31
1705618581.010786,31.93,4.34
1705618581.884552,31.74,4.35
1705618585.716602,31.27,4.38
1705618589.679967,32.02,4.42
1705618593.643403,31.78,4.45
1705618596.864088,31.65,4.48
1705618597.606461,30.83,4.49
1705618600.827511,31.27,4.52
1705618604.0484,31.06,4.54
1705618604.790958,30.71,4.55
1705618608.011895,30.48,4.58
1705618611.23266,31.61,4.6
1705618611.975392,31.87,4.61
1705618615.196048,,4.64
1705618618.416918,29.83,4.67
1705618619.159416,30.31,4.67
1705618622.380243,31.02,4.7
1705618625.601196,31.11,4.73
1705618629.564546,30.88,4.76
1705618632.78519,30.94,4.79
1705618636.757121,31.3,4.82
1705618639.984187,31.26,4.85
1705618643.953602,31.18,4.89
1705618647.178365,31.02,4.92
1705618650.402454,31.34,4.94
1705618651.145399,31.81,4.95
1705618654.369211,31.63,4.98
1705618657.591988,30.97,5.0
1705618658.33482,30.81,5.01
1705618661.557073,30.8,5.04
1705618664.77949,30.78,5.07
1705618668.00143,30.51,5.09
1705618668.744181,31.24,5.1
1705618671.965737,31.54,5.13
1705618675.187404,31.23,5.16
1705618675.930105,31.57,5.16
1705618679.15148,,5.19
1705618682.372779,30.98,5.22
1705618683.115252,30.87,5.22
1705618686.336643,30.74,5.25
1705618689.557277,31.1,5.28
1705618690.300463,31.21,5.29
1705618692.778613,30.01,5.31
1705618693.521438,29.51,5.31
1705618696.742397,30.16,5.34
1705618699.963428,30.71,5.37
1705618700.706198,29.48,5.37
1705618703.926962,30.35,5.4
1705618707.147895,30.79,5.43
1705618707.890708,31.16,5.43
1705618711.111595,31.32,5.46
1705618714.332665,30.37,5.49
1705618715.075001,30.27,5.5
1705618718.295961,30.64,5.52
1705618721.56498,31.51,5.55
1705618725.480123,31.34,5.59
1705618728.701452,31.59,5.62
1705618731.922312,30.94,5.64
