timestamp,speed,distance
1705617898.261539,,0.01
1705617901.483043,,0.01
1705617905.446261,,0.01
1705617908.666478,,0.01
1705617909.410253,,0.01
1705617912.630537,,0.01
1705617915.850706,,0.01
1705617919.072189,5.36,0.02
1705617919.814928,16.72,0.02
1705617926.256671,19.11,0.06
1705617926.999164,22.24,0.06
1705617930.220055,23.2,0.08
1705617933.440958,23.49,0.1
1705617934.182964,24.39,0.11
1705617937.404252,20.13,0.12
1705617943.845732,,0.12
1705617947.809179,,0.12
1705617951.02979,,0.12
1705617951.77273,,0.12
